Name,lat,lon
Banashankari,15.8876779,75.7046777
Basavanagudi,12.9417261,77.5755021
Mysore Road,12.9466619,77.5300896
Jayanagar,27.64392675,83.05280519687284
Kumaraswamy Layout,12.9081487,77.5553179
Rajarajeshwari Nagar,12.9274413,77.5155224
Vijay Nagar,16.7791503,74.6981692
Uttarahalli,12.9055682,77.5455438
JP Nagar,12.2655944,76.6465404
South Bangalore,12.8845448,77.5701276
City Market,39.76880625,-86.15345077251979
Nagarbhavi,12.9841958,77.51919296908994
Bannerghatta Road,12.8502865,77.5883263
BTM,45.95485055,-112.49659530324134
Kanakapura Road,12.5442176,77.4213833
Bommanahalli,12.9089453,77.6239038
CV Raman Nagar,17.2510682,80.1651978
Electronic City,12.848759900000001,77.64825295827616
HSR,18.1475,41.538889
Marathahalli,12.9552572,77.6984163
Sarjapur Road,12.920441,77.6653284
Wilson Garden,12.9489339,77.5968273
Shanti Nagar,22.478459,88.3541291
Koramangala 5th Block,12.9348429,77.6189768
Koramangala 8th Block,12.9408685,77.617338
Richmond Road,40.5758225,-74.123824
Koramangala 7th Block,12.9364846,77.6134783
Jalahalli,13.0464531,77.5483803
Koramangala 4th Block,12.9327778,77.6294052
Bellandur,12.93103185,77.6782471
Whitefield,53.5533682,-2.2969019
East Bangalore,50.84612745,0.50281715
Old Airport Road,1.3069172,103.8838652
Indiranagar,12.9732913,77.6404672
Koramangala 1st Block,12.9277245,77.6327822
Frazer Town,12.996845,77.6130165
RT Nagar,13.0227204,77.595715
MG Road,12.9755264,77.6067902
Brigade Road,-34.0881284,18.4585622
Lavelle Road,40.7652844,-76.373824
Church Street,40.7101198,-74.0113731
Ulsoor,12.9778793,77.6246697
Residency Road,26.2706188,73.0104979
Shivajinagar,18.5322493,73.8499601124847
Infantry Road,12.9830857,77.5961802
St. Marks Road,50.420836,-4.1056211
Cunningham Road,36.5348643,-79.0905056
Race Course Road,1.3147772,103.8567062
Commercial Street,51.5155393,-0.0720559
Vasanth Nagar,12.988721250000001,77.58516877601824
HBR Layout,13.0358698,77.6323597
Domlur,12.9624669,77.6381958
Ejipura,12.945245,77.6269144
Jeevan Bhima Nagar,12.9678074,77.6568367
Old Madras Road,13.0325214,77.7312229
Malleshwaram,13.0027353,77.5703253
Seshadripuram,12.9931876,77.5753419
Kammanahalli,13.0093455,77.6377094
Koramangala 6th Block,12.9390255,77.6238477
Majestic,1.2847055,103.84320655721689
Langford Town,12.957998,77.6037312
Central Bangalore,13.0101286,77.5548006
Sanjay Nagar,23.1485712,81.6048241
Brookefield,33.5935063,-79.0345627
"ITPL Main Road, Whitefield",12.9865737,77.7317663
"Varthur Main Road, Whitefield",12.9413238,77.7471103
KR Puram,13.007516,77.695935
Koramangala 2nd Block,12.9243692,77.6242433
Koramangala 3rd Block,12.9282918,77.6254034
Koramangala,12.9340114,77.6222304
Hosur Road,12.7687114,77.78836
Rajajinagar,12.9882338,77.554883
Banaswadi,13.0141618,77.6518539
North Bangalore,12.9767936,77.590082
Nagawara,13.2227,78.5541977
Hennur,13.0258087,77.6305067
Kalyan Nagar,13.0221416,77.6403368
New BEL Road,13.0375538,77.565566
Jakkur,13.0784743,77.6068938
Rammurthy Nagar,,
Thippasandra,12.973936,77.6509982
Kaggadasapura,12.9846713,77.6790908
Hebbal,13.0382184,77.5919
Kengeri,12.9176571,77.4837568
Sankey Road,38.7801076,-121.5056438
Sadashiv Nagar,15.8782951,74.5084834
Basaveshwara Nagar,12.2949193,76.6155101
Yeshwantpur,13.02383,77.5529215
West Bangalore,12.9848519,77.5400626
Magadi Road,12.9756527,77.5553548
Yelahanka,13.1006982,77.5963454
Sahakara Nagar,18.4900796,73.8475301
Peenya,13.0329419,77.5273253
